1,587,{73}
2,1631,"{10573, 12331, 13161, 11239, 10931, 12553, 151}"
3,788,{264}
4,1036,"{7713, 8724, 16384, 11857, 10144, 5018, 3954, 13828, 17748, 5077, 18208, 17936, 2305, 8290, 261, 2769, 1574}"
5,2877,"{28, 30}"
6,1115,{48}
7,508,{59}
8,2483,{3546}
9,2524,"{13038, 4122, 72}"
10,2541,"{84, 921}"
11,2750,{89}
12,777,{302}
13,2302,{617}
14,1579,"{1437, 299, 1446}"
15,2947,{355}
16,469,{409}
17,2440,{423}
18,2312,"{428, 424}"
19,2746,{451}
20,2809,{963}
21,2602,{457}
22,2609,{461}
23,2343,{466}
24,2828,{467}
25,951,"{490, 533}"
26,447,{865}
27,2423,"{759, 743, 740, 741, 731, 761}"
28,1053,"{765, 709, 704}"
29,281,{776}
30,2761,{1386}
31,2226,{1344}
32,2994,{1347}
33,233,{1442}
34,1945,{1130}
35,2549,{1140}
36,514,"{1509, 1472}"
37,1489,{1499}
38,2857,"{1177, 5631}"
39,2045,{1605}
40,226,{1648}
41,2077,{1440}
42,1498,{1443}
43,1462,{1524}
44,2134,"{5462, 1542, 5399, 5436}"
45,2371,{1547}
46,2416,{1575}
47,2283,{1972}
48,706,"{2833, 2844, 14497, 2852, 2867, 2834, 2877, 2835}"
49,1776,{2455}
50,1689,"{8533, 1646, 1663, 1709, 1654, 1711, 1657, 1704, 8540, 1650, 2479}"
51,1343,{3543}
52,2040,{3560}
53,1600,"{2025, 15702}"
54,3038,"{13767, 2475}"
55,251,{1694}
56,2336,{2068}
57,225,"{2136, 2073, 2072, 2118, 2077, 2131, 2086}"
58,3039,{2849}
59,2833,{2322}
60,64,{2336}
61,2419,"{2337, 8711}"
62,2696,"{13840, 10440, 17773, 17070, 17099, 7338, 9405, 6958, 13827, 7664, 8872, 15644, 18240, 12607, 8598, 18408, 10443, 12601, 17103, 9410, 12608, 12603, 11567, 10439, 12609, 2977, 18413, 11562, 4871, 2981, 17774, 18220, 17775, 7663, 14232, 18211, 15232, 12605, 12598, 10435, 7041, 14230, 18253, 17767, 11568, 18214, 18414, 8974, 9306, 2933, 18222, 10442, 18428, 10441, 14229, 12606}"
63,1640,{2110}
64,2235,{2117}
65,393,"{2141, 2123}"
66,1615,{2468}
67,888,"{2701, 2699}"
68,206,{3320}
69,1949,{2771}
70,2650,{2526}
71,1001,{2540}
72,2799,{2872}
73,1183,{3003}
74,2052,{3774}
75,2875,{3013}
76,187,{3035}
77,1928,{3110}
78,2147,"{18341, 2857}"
79,1875,{2886}
80,1747,"{2892, 2898, 2896, 2904}"
81,103,"{6117, 2912, 1112, 14516, 8499, 892, 3778, 2907, 15167, 9267, 3777, 12844, 17454, 3669, 17452, 15726, 2893, 15157, 2905, 9272, 9049}"
82,2316,{4138}
83,2290,{3175}
84,1774,{3382}
85,2331,{3425}
86,289,{3407}
87,188,{3154}
88,2456,{3158}
89,2014,{3160}
90,2346,"{3188, 3166, 3140}"
91,2700,{3172}
92,377,{3177}
93,1368,{3179}
94,2628,{3180}
95,2502,{3182}
96,2166,{3983}
97,329,{3653}
98,590,"{3661, 3608, 3610, 3600, 3641, 3639}"
99,1460,{3666}
100,176,{3679}
101,2634,{3698}
102,2679,{3704}
103,2133,"{3769, 3762, 3770, 3735, 3765, 3710}"
104,2873,{4021}
105,766,{5676}
106,2212,{4201}
107,873,{4024}
108,2908,{4278}
109,1737,{4313}
110,1326,{5595}
111,2201,{5633}
112,1227,{5725}
113,2341,{4256}
114,1340,"{4273, 4356, 4368, 4344}"
115,486,{4280}
116,1558,{4290}
117,2552,{4622}
118,2429,{4787}
119,2298,{5007}
120,2531,{5023}
121,1852,{5032}
122,123,"{5036, 14928, 17492, 14957, 8317}"
123,496,"{5065, 14970}"
124,63,"{9164, 16647, 9179, 9171, 16669}"
125,2814,"{16635, 9172}"
126,1231,"{9634, 4685}"
127,552,{4740}
128,1283,"{4762, 4754}"
129,2846,{5187}
130,1909,{5239}
131,2917,{6655}
132,1920,{9175}
133,2583,"{5133, 5188, 5202, 5129, 5173, 5227, 5213}"
134,1094,{7016}
135,2693,{5185}
136,2731,"{5718, 5714}"
137,3010,{7063}
138,2065,{5748}
139,2582,{7497}
140,837,"{5941, 5904}"
141,1238,{6018}
142,2999,{6097}
143,2721,"{5649, 2712, 1243, 2705, 10272}"
144,2815,"{5651, 3960, 3949}"
145,2097,"{5655, 16605}"
146,265,{6255}
147,2394,{6259}
148,2084,"{6458, 9333}"
149,216,{6463}
150,692,{6139}
151,446,{6168}
152,1005,{7235}
153,524,{7817}
154,1571,"{6639, 6645, 6292, 6644, 6647}"
155,726,{6296}
156,727,"{6368, 6320}"
157,3028,{6755}
158,546,"{7747, 6851, 6407, 4229, 4114, 6443, 6490, 4200, 6488, 4197, 6486, 4214}"
159,1211,{6513}
160,545,{6522}
161,1819,{6531}
162,867,{6542}
163,1674,"{6554, 6615, 6598}"
164,2957,{6562}
165,1254,{8357}
166,482,{7052}
167,1390,{7237}
168,2760,{7154}
169,2439,"{4852, 6745, 8021, 11915, 12440, 7100, 10384, 6938, 10391, 6742, 15634}"
170,121,{6956}
171,1603,{6976}
172,2425,{7013}
173,830,"{9277, 9269}"
174,274,{7264}
175,2180,{7355}
176,1307,{9113}
177,2000,{9115}
178,1499,"{9278, 9275}"
179,714,{9966}
180,2704,{7238}
181,865,{9584}
182,2353,{7243}
183,323,"{7534, 8459, 7533, 7531}"
184,1252,{9432}
185,1171,{10125}
186,2335,{10167}
187,1642,{10389}
188,2800,{7738}
189,2314,{7793}
190,328,{10640}
191,2140,{10650}
192,1701,{9615}
193,665,{9647}
194,389,"{7831, 7842}"
195,1013,{7536}
196,358,{10826}
197,1502,{10840}
198,102,{9715}
199,2641,{11083}
200,1870,"{10824, 9723, 10814, 10812}"
201,911,"{11379, 11355}"
202,2534,{7630}
203,1429,{11613}
204,2569,"{11691, 16834}"
205,1523,{11715}
206,818,{8168}
207,1855,{8188}
208,2399,{8197}
209,811,{8198}
210,2555,{8231}
211,1091,{12520}
212,2682,{7868}
213,2926,{12566}
214,114,{7873}
215,2085,{12755}
216,2725,{8293}
217,1020,"{17783, 12836}"
218,2736,{12982}
219,1997,{14693}
220,2310,{13040}
221,595,{13055}
222,1806,{13070}
223,1367,"{13203, 13214}"
224,1347,{13254}
225,27,{13308}
226,1540,{13337}
227,1377,"{13416, 13446}"
228,33,"{13432, 13455, 13434}"
229,2680,{8532}
230,965,{8592}
231,1150,{8296}
232,1798,{8315}
233,549,{13820}
234,1118,{13898}
235,1564,{13973}
236,835,{14021}
237,599,{14137}
238,1735,{8789}
239,2621,{8795}
240,450,{14288}
241,523,{14310}
242,623,"{14476, 14488, 14463}"
243,249,"{8607, 8613, 8610}"
244,1079,{14696}
245,630,"{8622, 8620, 8609}"
246,409,{8611}
247,2730,{14767}
248,2759,{14942}
249,2485,{8663}
250,2181,{9009}
251,1345,"{17680, 15127}"
252,1452,{15249}
